algorithm,seed,t,V,window,grid_density,mos,swer,q_semantic,q_energy,violation_flag,energy_cum,snr_db,noise_std,P_index,B_index,utility_reward,lyapunov_reward,scaled_reward,q_prev_before,reward,decision_latency_ms,mu_star,mu_choice,run_tag,experiment_id,scenario,safety_overridden,active_set_size,q_next_est
raucb_plus,0,1,800.0,512,50,1.4947080963129242,0.7010583807374152,0.3882012322702751,0.20331788788358993,0,0.1,9.590060847932284,0.05,0,0,1.4847080963129242,1187.7353558638467,1.4846691948298085,0.2750565466872109,1.4847080963129242,0.5802000014227815,0.0,1.39,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000,0,121,0.3484849189235435
raucb_plus,0,2,800.0,512,50,1.7714795367102347,0.645704092657953,0.7275659300143011,0.511244664944356,0,0.1,8.88632561212529,0.05,0,5,1.7614795367102347,1409.0518875743344,1.761314859467918,0.3882012322702751,1.7614795367102347,0.036299999919719994,0.0,1.7573469387755103,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000,1,121,0.6519989410588768
raucb_plus,0,3,800.0,512,50,2.0614671420806756,0.5877065715838649,1.1070491649007563,0.7760723881593281,0,0.1,6.561294837486456,0.05,0,10,2.051467142080676,1640.8976145918257,2.051122018239782,0.7275659300143011,2.051467142080676,0.01990000600926578,0.0,2.124693877551021,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000,1,121,1.1838337986382452
raucb_plus,0,4,800.0,512,50,2.6062921532707986,0.4787415693458403,1.7953119139029254,0.8259283334280205,0,0.1,6.017035854629147,0.05,0,15,2.5962921532707988,2076.271781915124,2.5953397273939047,1.1070491649007563,2.5962921532707988,0.01809999957913533,0.0,2.492040816326531,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000,1,121,1.776053387595441
raucb_plus,0,5,800.0,512,50,2.904538762111343,0.4190922475777314,2.515927478098127,1.0612405407748355,0,0.1,5.888501191685113,0.05,0,20,2.894538762111343,2314.337279981331,2.8929215999766638,1.7953119139029254,2.894538762111343,0.01900000643217936,0.0,2.8593877551020412,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000,1,121,2.654792843271082
raucb_plus,0,6,800.0,512,50,3.1445621562517094,0.3710875687496581,3.497358692858364,1.4598455086694409,0,0.1,6.791971373336922,0.05,0,25,3.1345621562517096,2505.180515240289,3.131475644050361,2.515927478098127,3.1345621562517096,0.017300000763498247,0.0,3.2267346938775514,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000,1,121,3.5606885601408385
raucb_plus,0,7,800.0,512,50,3.58316407516589,0.283367184966822,4.798583087397283,1.7040688739549108,0,0.1,6.334245547669583,0.05,0,30,3.57316407516589,2853.9804116851124,3.5674755146063903,3.497358692858364,3.57316407516589,0.019400002202019095,0.0,3.5940816326530616,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000,1,121,4.714499867018183
raucb_plus,0,8,800.0,512,50,4.006965842332564,0.19860683153348724,6.338736972847827,1.8667460351927736,0,0.1,6.175020537755104,0.05,0,35,3.996965842332564,3190.1821174793395,3.9877276468491742,4.798583087397283,3.996965842332564,0.016500001947861165,0.0,3.9614285714285717,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000,1,121,6.205119303765699
raucb_plus,0,9,800.0,512,50,4.488118624726158,0.1023762750547684,8.199192317415033,2.2337677931708986,0,0.1,5.521191928336765,0.05,0,40,4.478118624726158,3570.701962701986,4.463377453377483,6.338736972847827,4.478118624726158,0.016200006939470768,0.0,4.328775510204082,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000,1,121,7.930936971227929
raucb_plus,0,10,800.0,512,50,4.7842535890496345,0.0431492821900731,9.86694219223515,2.4309178082707468,0,0.1,4.262126396232645,0.05,0,45,4.774253589049635,3805.7286692787125,4.75716083659839,8.199192317415033,4.774253589049635,0.016099998902063817,0.0,4.696122448979592,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000,1,121,9.98323864280062
raucb_plus,0,11,800.0,512,50,5.0,0.0,12.122579398506959,2.4444966050374366,0,0.1,4.5265820265619485,0.05,0,49,4.99,3969.743758079061,4.962179697598827,9.86694219223515,4.99,0.015500001609325409,0.0,4.99,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000,1,121,11.813665612282243
raucb_plus,0,12,800.0,512,50,1.2791681367717826,0.7441663726456434,12.197442872088558,2.646209024087901,0,0.19183673469387758,6.328216896428074,0.05,5,0,1.2599844633023949,1007.080032239375,1.2588500402992187,12.122579398506959,1.2599844633023949,0.016600002709310502,0.0,1.3808163265306121,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000,1,121,12.214033809094504
raucb_plus,0,13,800.0,512,50,1.806859144793711,0.6386281710412578,12.361728798105867,2.6224308196668535,0,0.19183673469387758,6.3237627633079905,0.05,5,5,1.7876754713243233,1428.1365088621744,1.785170636077718,12.197442872088558,1.7876754713243233,0.016500001947861165,0.0,1.7481632653061225,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000,1,121,12.42936828324564
raucb_plus,0,14,800.0,512,50,2.068523620347117,0.5862952759305766,12.834373998050596,2.5459151894698495,0,0.19183673469387758,6.7536264581302206,0.05,5,10,2.0493399468777294,1633.62924572274,2.042036557153425,12.361728798105867,2.0493399468777294,0.016099998902063817,0.0,2.115510204081633,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000,1,121,12.777434486944909
raucb_plus,0,15,800.0,512,50,2.452449743482316,0.5095100513035369,13.343341596872362,2.399454977585533,0,0.19183673469387758,6.317191210987,0.05,5,15,2.433266070012928,1940.0805754941741,2.425100719367718,12.834373998050596,2.433266070012928,0.015900004655122757,0.0,2.482857142857143,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000,1,121,13.423445200330127
raucb_plus,0,16,800.0,512,50,3.001423853810225,0.399715229237955,14.182968273946548,2.307375964875762,0,0.19183673469387758,6.646160840447202,0.05,5,20,2.9822401803408374,2374.588718706622,2.9682358983832775,13.343341596872362,2.9822401803408374,0.01599999814061448,0.0,2.8502040816326533,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000,1,121,14.126551807629307
raucb_plus,0,17,800.0,512,50,3.3051033129552048,0.338979337408959,14.950295380249297,2.430093305951739,0,0.19183673469387758,7.279513463272117,0.05,5,25,3.285919639485817,2617.8527355842225,3.272315919480278,14.182968273946548,3.285919639485817,0.017899998056236655,0.0,3.2175510204081634,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000,1,121,15.14196339665011
raucb_plus,0,18,800.0,512,50,3.661455910139113,0.2677088179721774,16.290459997147835,2.488204478101685,0,0.19183673469387758,8.283475039114286,0.05,5,30,3.6422722366697253,2893.7819324549882,3.617227415568735,14.950295380249297,3.6422722366697253,0.016099998902063817,0.0,3.5848979591836736,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000,1,121,16.077776434956547
