algorithm,seed,t,V,window,grid_density,mos,swer,q_semantic,q_energy,violation_flag,energy_cum,snr_db,noise_std,P_index,B_index,utility_reward,lyapunov_reward,scaled_reward,q_prev_before,reward,decision_latency_ms,mu_star,mu_choice,run_tag,experiment_id
raucb_plus,1,1,800.0,300,10,1.4,0.0,0.0,0.0,0,0.1,10.0,0.05,0,0,1.4310809071750579,1144.8647257400462,1.4310809071750576,0.0,1.4310809071750579,0.09139999929175247,4.99,1.39,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,2,800.0,300,10,1.8,0.0,0.0,0.0,0,0.1,10.0,0.05,0,1,1.8065218538091694,1445.2174830473355,1.8065218538091694,0.0,1.8065218538091694,0.05430000055639539,4.99,1.79,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,3,800.0,300,10,2.2,0.0,0.0,0.0,0,0.1,10.0,0.05,0,2,2.1248421384197824,1699.8737107358259,2.1248421384197824,0.0,2.1248421384197824,0.05859999873791821,4.99,2.1900000000000004,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,4,800.0,300,10,2.6,0.0,0.0,0.0,0,0.1,10.0,0.05,0,3,2.6352677933336563,2108.214234666925,2.6352677933336563,0.0,2.6352677933336563,0.07499999992433004,4.99,2.5900000000000003,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,5,800.0,300,10,3.0,0.0,0.0,0.0,0,0.1,10.0,0.05,0,4,3.012318728618201,2409.8549828945606,3.012318728618201,0.0,3.012318728618201,0.08410000009462237,4.99,2.99,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,6,800.0,300,10,3.4,0.0,0.0,0.0,0,0.1,10.0,0.05,0,5,3.363152338231986,2690.5218705855887,3.363152338231986,0.0,3.363152338231986,0.19330000031914096,4.99,3.39,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,7,800.0,300,10,3.8000000000000003,0.0,0.0,0.0,0,0.1,10.0,0.05,0,6,3.8190559052098183,3055.2447241678547,3.8190559052098183,0.0,3.8190559052098183,0.12389999938022811,4.99,3.7900000000000005,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,8,800.0,300,10,4.2,0.0,0.0,0.0,0,0.1,10.0,0.05,0,7,4.208228619809304,3366.5828958474435,4.208228619809304,0.0,4.208228619809304,0.13249999938125256,4.99,4.19,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,9,800.0,300,10,4.6,0.0,0.0,0.0,0,0.1,10.0,0.05,0,8,4.604706624832776,3683.7652998662206,4.604706624832776,0.0,4.604706624832776,0.14030000056663994,4.99,4.59,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,10,800.0,300,10,5.0,0.0,0.0,0.0,0,0.1,10.0,0.05,0,9,4.99142111206579,3993.1368896526324,4.99142111206579,0.0,4.99142111206579,0.1537000007374445,4.99,4.99,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
