algorithm,seed,t,V,window,grid_density,mos,swer,q_semantic,q_energy,violation_flag,energy_cum,snr_db,noise_std,P_index,B_index,reward,q_prev_before,utility_reward,lyapunov_reward,scaled_reward,decision_latency_ms,mu_star,mu_choice,run_tag,experiment_id
safe_linucb,2,1,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.873862577925963,0.0,4.873862577925963,3899.0900623407706,4.873862577925963,1.0753999995358754,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,2,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.8793468228304056,0.0,4.8793468228304056,3903.4774582643245,4.8793468228304056,0.9919000003719702,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,3,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.7779266308680075,0.0,4.7779266308680075,3822.341304694406,4.7779266308680075,0.9919000003719702,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,4,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.989985369136045,0.0,4.989985369136045,3991.9882953088363,4.989985369136045,0.9816999991016928,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,5,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.9572082936018615,0.0,4.9572082936018615,3965.766634881489,4.9572082936018615,1.028700000460958,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,6,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.883728858156609,0.0,4.883728858156609,3906.9830865252875,4.883728858156609,0.9862999995675636,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,7,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.938690329336383,0.0,4.938690329336383,3950.9522634691066,4.938690329336383,0.9862999995675636,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,8,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.914060533489883,0.0,4.914060533489883,3931.2484267919062,4.914060533489883,0.9958999999071239,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,9,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.872308858178798,0.0,4.872308858178798,3897.847086543038,4.872308858178798,0.9909999989758944,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,10,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.948878372556302,0.0,4.948878372556302,3959.1026980450415,4.948878372556302,1.0157000015169615,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,11,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.884472172667043,0.0,4.884472172667043,3907.5777381336343,4.884472172667043,1.0333999998692889,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,12,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.883558804797103,0.0,4.883558804797103,3906.847043837682,4.883558804797103,1.0323000005882932,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,13,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.860392662232055,0.0,4.860392662232055,3888.314129785644,4.860392662232055,1.0099999999511056,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,14,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.922747903562043,0.0,4.922747903562043,3938.1983228496347,4.922747903562043,1.014900000882335,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,15,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.895040097414131,0.0,4.895040097414131,3916.0320779313047,4.895040097414131,1.1646999992080964,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,16,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.927264435698234,0.0,4.927264435698234,3941.811548558587,4.927264435698234,1.0671999989426695,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,17,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.869640715006469,0.0,4.869640715006469,3895.712572005175,4.869640715006469,1.0278999998263316,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,18,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.906341392355594,0.0,4.906341392355594,3925.073113884475,4.906341392355594,1.0118999998667277,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,19,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.8553862978285105,0.0,4.8553862978285105,3884.3090382628084,4.8553862978285105,1.000199999907636,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,20,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.942073248618508,0.0,4.942073248618508,3953.6585988948063,4.942073248618508,1.022799999191193,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,21,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.909401754349035,0.0,4.909401754349035,3927.521403479228,4.909401754349035,1.0542999989411328,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,22,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.916528550406767,0.0,4.916528550406767,3933.2228403254135,4.916528550406767,1.0308999990229495,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,23,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.920525195648514,0.0,4.920525195648514,3936.420156518811,4.920525195648514,1.0087000009662006,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,24,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.849462124992334,0.0,4.849462124992334,3879.569699993867,4.849462124992334,1.0332000001653796,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,25,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.939159049807205,0.0,4.939159049807205,3951.327239845764,4.939159049807205,1.05489999987185,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,26,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,5.002835140917119,0.0,5.002835140917119,4002.268112733695,5.002835140917119,1.082299999325187,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,27,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.818077874838224,0.0,4.818077874838224,3854.462299870579,4.818077874838224,1.0390999996161554,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,28,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.813529426642276,0.0,4.813529426642276,3850.823541313821,4.813529426642276,1.0224999987258343,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,29,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.824758429306784,0.0,4.824758429306784,3859.8067434454274,4.824758429306784,1.1781000011978904,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
