algorithm,seed,t,V,window,grid_density,mos,swer,q_semantic,q_energy,violation_flag,energy_cum,snr_db,noise_std,P_index,B_index,reward,q_prev_before,utility_reward,lyapunov_reward,scaled_reward,decision_latency_ms,mu_star,mu_choice,run_tag,experiment_id
sw_ucb,2,1,800.0,300,10,1.4,0.0,0.0,0.0,0,0.1,10.0,0.05,0,0,1.3638625779259625,0.0,1.3638625779259625,1091.0900623407701,1.3638625779259628,0.002599999788799323,4.99,1.39,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,2,800.0,300,10,1.8,0.0,0.0,0.0,0,0.1,10.0,0.05,0,1,1.7693468228304055,0.0,1.7693468228304055,1415.4774582643245,1.7693468228304057,0.03839999953925144,4.99,1.79,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,3,800.0,300,10,2.2,0.0,0.0,0.0,0,0.1,10.0,0.05,0,2,2.0679266308680075,0.0,2.0679266308680075,1654.341304694406,2.0679266308680075,0.028399999791872688,4.99,2.1900000000000004,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,4,800.0,300,10,2.6,0.0,0.0,0.0,0,0.1,10.0,0.05,0,3,2.6799853691360456,0.0,2.6799853691360456,2143.9882953088363,2.6799853691360456,0.029200000426499173,4.99,2.5900000000000003,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,5,800.0,300,10,3.0,0.0,0.0,0.0,0,0.1,10.0,0.05,0,4,3.047208293601862,0.0,3.047208293601862,2437.7666348814896,3.047208293601862,0.030499999411404133,4.99,2.99,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,6,800.0,300,10,3.4,0.0,0.0,0.0,0,0.1,10.0,0.05,0,5,3.3737288581566087,0.0,3.3737288581566087,2698.983086525287,3.3737288581566087,0.032500000088475645,4.99,3.39,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,7,800.0,300,10,3.8000000000000003,0.0,0.0,0.0,0,0.1,10.0,0.05,0,6,3.8286903293363834,0.0,3.8286903293363834,3062.9522634691066,3.8286903293363834,0.034100001357728615,4.99,3.7900000000000005,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,8,800.0,300,10,4.2,0.0,0.0,0.0,0,0.1,10.0,0.05,0,7,4.204060533489883,0.0,4.204060533489883,3363.2484267919062,4.204060533489883,0.040299999454873614,4.99,4.19,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,9,800.0,300,10,4.6,0.0,0.0,0.0,0,0.1,10.0,0.05,0,8,4.562308858178797,0.0,4.562308858178797,3649.8470865430377,4.562308858178797,0.03730000025825575,4.99,4.59,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,10,800.0,300,10,5.0,0.0,0.0,0.0,0,0.1,10.0,0.05,0,9,5.038878372556302,0.0,5.038878372556302,4031.1026980450415,5.038878372556302,0.03930000093532726,4.99,4.99,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,11,800.0,300,10,1.4,0.0,0.0,0.0,0,0.2,10.0,0.05,1,0,1.3644721726670423,0.0,1.3644721726670423,1091.5777381336338,1.3644721726670423,0.0411000000895001,4.99,1.38,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,12,800.0,300,10,1.8,0.0,0.0,0.0,0,0.2,10.0,0.05,1,1,1.7635588047971018,0.0,1.7635588047971018,1410.8470438376814,1.7635588047971018,0.04330000047048088,4.99,1.78,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,13,800.0,300,10,2.2,0.0,0.0,0.0,0,0.2,10.0,0.05,1,2,2.1403926622320553,0.0,2.1403926622320553,1712.3141297856441,2.1403926622320553,0.044699998397845775,4.99,2.18,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,14,800.0,300,10,2.6,0.0,0.0,0.0,0,0.2,10.0,0.05,1,3,2.602747903562043,0.0,2.602747903562043,2082.198322849634,2.602747903562043,0.04690000059781596,4.99,2.58,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,15,800.0,300,10,3.0,0.0,0.0,0.0,0,0.2,10.0,0.05,1,4,2.9750400974141304,0.0,2.9750400974141304,2380.0320779313042,2.9750400974141304,0.04830000034417026,4.99,2.98,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,16,800.0,300,10,3.4,0.0,0.0,0.0,0,0.2,10.0,0.05,1,5,3.407264435698234,0.0,3.407264435698234,2725.811548558587,3.407264435698234,0.050299999202252366,4.99,3.38,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,17,800.0,300,10,3.8000000000000003,0.0,0.0,0.0,0,0.2,10.0,0.05,1,6,3.7496407150064686,0.0,3.7496407150064686,2999.712572005175,3.7496407150064686,0.05309999869496096,4.99,3.7800000000000002,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
sw_ucb,2,18,800.0,300,10,4.2,0.0,0.0,0.0,0,0.2,10.0,0.05,1,7,4.186341392355594,0.0,4.186341392355594,3349.073113884475,4.186341392355594,0.05469999996421393,4.99,4.180000000000001,task3_sw_ucb_V800.0_w300_g10_T10000_s2,exp_2
