algorithm,seed,t,V,window,grid_density,mos,swer,q_semantic,q_energy,violation_flag,energy_cum,snr_db,noise_std,P_index,B_index,reward,q_prev_before,utility_reward,lyapunov_reward,scaled_reward,decision_latency_ms,mu_star,mu_choice,run_tag,experiment_id,scenario
sw_ucb,2,1,800.0,10000,50,1.4,0.0,0.0,0.0,0,0.1,10.0,0.05,0,0,1.3638625779259625,0.0,1.3638625779259625,1091.0900623407701,1.3638625779259628,0.07439999899361283,4.99,1.39,task3_sw_ucb_V800.0_w10000_g50_T10000_s2,exp_2,bandit_stationary_pure
sw_ucb,2,2,800.0,10000,50,1.473469387755102,0.0,0.0,0.0,0,0.1,10.0,0.05,0,1,1.4428162105855074,0.0,1.4428162105855074,1154.252968468406,1.4428162105855074,0.549100004718639,4.99,1.463469387755102,task3_sw_ucb_V800.0_w10000_g50_T10000_s2,exp_2,bandit_stationary_pure
sw_ucb,2,3,800.0,10000,50,1.546938775510204,0.0,0.0,0.0,0,0.1,10.0,0.05,0,2,1.4148654063782111,0.0,1.4148654063782111,1131.892325102569,1.4148654063782111,0.4118000069865957,4.99,1.536938775510204,task3_sw_ucb_V800.0_w10000_g50_T10000_s2,exp_2,bandit_stationary_pure
sw_ucb,2,4,800.0,10000,50,1.6204081632653062,0.0,0.0,0.0,0,0.1,10.0,0.05,0,3,1.7003935324013513,0.0,1.7003935324013513,1360.314825921081,1.700393532401351,0.41849999979604036,4.99,1.6104081632653062,task3_sw_ucb_V800.0_w10000_g50_T10000_s2,exp_2,bandit_stationary_pure
sw_ucb,2,5,800.0,10000,50,1.6938775510204083,0.0,0.0,0.0,0,0.1,10.0,0.05,0,4,1.7410858446222697,0.0,1.7410858446222697,1392.8686756978157,1.7410858446222697,0.41530000453349203,4.99,1.6838775510204083,task3_sw_ucb_V800.0_w10000_g50_T10000_s2,exp_2,bandit_stationary_pure
sw_ucb,2,6,800.0,10000,50,1.7673469387755103,0.0,0.0,0.0,0,0.1,10.0,0.05,0,5,1.7410757969321191,0.0,1.7410757969321191,1392.8606375456952,1.7410757969321191,0.4245000018272549,4.99,1.7573469387755103,task3_sw_ucb_V800.0_w10000_g50_T10000_s2,exp_2,bandit_stationary_pure
sw_ucb,2,7,800.0,10000,50,1.8408163265306123,0.0,0.0,0.0,0,0.1,10.0,0.05,0,6,1.8695066558669955,0.0,1.8695066558669955,1495.6053246935965,1.8695066558669955,0.41680000140331686,4.99,1.8308163265306123,task3_sw_ucb_V800.0_w10000_g50_T10000_s2,exp_2,bandit_stationary_pure
sw_ucb,2,8,800.0,10000,50,1.9142857142857144,0.0,0.0,0.0,0,0.1,10.0,0.05,0,7,1.9183462477755968,0.0,1.9183462477755968,1534.6769982204773,1.9183462477755966,0.42219999886583537,4.99,1.9042857142857144,task3_sw_ucb_V800.0_w10000_g50_T10000_s2,exp_2,bandit_stationary_pure
sw_ucb,2,9,800.0,10000,50,1.9877551020408164,0.0,0.0,0.0,0,0.1,10.0,0.05,0,8,1.9500639602196137,0.0,1.9500639602196137,1560.051168175691,1.9500639602196137,0.4200999974273145,4.99,1.9777551020408164,task3_sw_ucb_V800.0_w10000_g50_T10000_s2,exp_2,bandit_stationary_pure
sw_ucb,2,10,800.0,10000,50,2.0612244897959187,0.0,0.0,0.0,0,0.1,10.0,0.05,0,9,2.1001028623522204,0.0,2.1001028623522204,1680.0822898817764,2.1001028623522204,0.4239999980200082,4.99,2.051224489795919,task3_sw_ucb_V800.0_w10000_g50_T10000_s2,exp_2,bandit_stationary_pure
